input1,input2,input3,input4,output1,output2,output3,output4
4.8,-2.9,9.3,4.0,63.7,21.099999999999998,-10.0,81.10000000000001
-9.2,-3.4,-7.2,4.8,-29.900000000000002,7.2,7.800000000000001,-47.8
-0.8,6.3,-1.8,-6.4,22.1,26.2,3.8,-26.9
-6.0,-4.2,6.7,-1.5,42.9,9.100000000000001,-5.199999999999999,48.9
-6.9,8.6,1.9,8.9,85.4,23.3,0.6000000000000001,31.5
-7.7,-6.6,-6.2,-1.4,2.1,6.5,4.9,-51.4
-4.9,0.7,1.0,-9.1,-8.9,14.200000000000001,0.9,-9.0
-1.0,0.3,-2.8,-2.0,-17.599999999999998,20.5,2.5,-27.2
-7.5,4.7,6.6,-1.6,45.5,18.8,-4.3,49.1
2.8,-5.9,-5.0,-5.6,8.0,15.599999999999998,3.0000000000000004,-53.0
