    r,g,b,text_color
238,92,66,0
0,238,118,0
198,113,113,0
78,238,148,0
69,139,116,1
8,8,8,1
196,196,196,0
0,205,102,0
139,0,0,1
26,26,26,1
255,239,219,0
96,123,139,1
0,201,87,0
255,204,102,0
255,255,255,0
139,28,98,1
72,61,139,1
220,220,220,0
141,182,205,0
153,0,0,1
122,197,205,0
255,20,147,1
20,20,20,1
192,255,62,0
235,235,235,0
64,64,64,1
183,183,183,0
107,142,35,1
204,51,51,1
81,81,81,1
56,142,142,1
138,43,226,1
139,125,107,1
255,110,180,0
0,128,0,1
252,252,252,0
5,5,5,1
102,153,102,0
110,123,139,1
255,128,128,0
238,121,159,0
238,58,140,1
179,102,26,1
230,230,77,0
238,162,173,0
156,102,31,1
179,102,26,1
238,213,183,0
46,139,87,1
0,0,238,1
238,0,238,1
110,110,110,1
0,0,0,1
34,139,34,1
191,191,191,0
204,153,51,0
145,44,238,1
60,179,113,0
139,105,20,1
255,255,77,0
0,178,238,0
179,204,255,0
104,34,139,1
230,153,77,0
205,150,205,0
204,102,51,1
67,110,238,1
255,130,71,0
242,242,242,0
61,89,171,1
205,102,0,1
143,188,143,0
240,255,255,0
238,180,34,0
184,184,184,0
205,192,176,0
173,173,173,0
255,230,179,0
179,179,179,0
26,0,104,1
250,250,210,0
83,134,139,1
255,110,180,0
193,205,205,0
255,228,225,0
153,153,0,0
135,206,235,0
0,238,118,0
51,0,51,1
230,230,230,0
139,134,130,0
84,84,84,1
255,231,186,0
255,0,0,1
128,128,128,0
59,59,59,1
255,204,128,0
205,91,69,1
204,204,51,0
58,95,205,1
255,215,0,0
105,89,205,1
255,64,64,1
113,198,113,0
142,142,142,0
139,139,0,1
230,128,77,0
197,193,170,0
205,205,193,0
128,128,0,1
108,123,139,1
238,154,0,0
179,26,26,1
139,69,19,1
252,230,201,0
0,0,128,1
253,245,230,0
122,139,139,0
69,139,0,1
255,174,185,0
25,25,112,1
113,113,198,1
238,233,191,0
174,238,238,0
99,99,99,1
186,85,211,0
255,185,15,0
204,204,204,0
173,255,47,0
87,87,87,1
255,255,224,0
67,110,238,1
0,255,127,0
209,238,238,0
51,26,128,1
169,169,169,0
145,145,145,0
0,255,127,0
255,239,213,0
205,183,158,0
179,179,26,0
10,10,10,1
205,38,38,1
135,206,250,0
204,153,204,0
156,156,156,0
193,205,205,0
238,230,133,0
151,255,255,0
255,230,204,0
153,153,51,0
204,204,102,0
48,128,20,1
230,179,204,0
242,242,242,0
10,10,10,1
47,79,79,1
205,85,85,1
250,128,114,0
255,0,0,1
255,179,179,0
75,0,130,1
64,224,208,0
238,18,137,1
139,69,0,1
153,153,51,0
218,165,32,0
106,90,205,1
205,41,144,1
153,204,204,0
238,223,204,0
145,145,145,0
204,128,51,0
238,92,66,0
255,255,179,0
139,105,105,1
208,32,144,1
205,50,120,1
255,255,179,0
26,77,77,1
0,197,205,0
255,153,128,0
179,179,179,0
128,128,128,0
205,181,205,0
110,123,139,1
0,0,139,1
255,127,80,0
41,36,33,1
142,56,142,1
122,122,122,1
61,89,171,1
138,138,138,0
59,59,59,1
131,111,255,0
0,191,255,0
122,103,238,1
255,255,240,0
176,176,176,0
125,125,125,1
179,128,179,0
77,77,77,1
54,100,139,1
69,139,0,1
139,137,112,0
245,222,179,0
148,148,148,0
255,239,219,0
81,81,81,1
197,193,170,0
238,238,0,0
122,103,238,1
0,205,0,1
255,204,153,0
0,100,0,1
255,250,250,0
199,199,199,0
0,255,255,0
255,211,155,0
205,133,63,0
139,28,98,1
95,158,160,0
94,94,94,1
113,198,113,0
102,102,0,1
255,250,205,0
230,179,77,0
139,137,137,0
255,204,179,0
205,205,180,0
178,223,238,0
54,54,54,1
247,247,247,0
127,255,212,0
205,155,29,0
18,18,18,1
0,0,128,1
244,164,96,0
133,133,133,0
139,71,93,1
25,25,112,1
82,82,82,1
127,255,0,0
153,179,255,0
186,186,186,0
23,23,23,1
199,21,133,1
48,128,20,1
204,230,255,0
99,184,255,0
183,183,183,0
83,134,139,1
237,145,33,0
237,237,237,0
24,116,205,1
139,0,0,1
77,102,204,1
238,173,14,0
255,179,102,0
245,245,245,0
128,77,128,1
230,230,250,0
238,106,80,0
255,64,64,1
255,69,0,1
69,139,116,1
238,238,0,0
218,165,32,0
138,51,36,1
221,160,221,0
82,139,139,1
67,205,128,0
139,102,139,1
0,205,205,0
51,102,51,1
227,168,105,0
139,90,0,1
153,153,0,0
139,87,66,1
216,191,216,0
0,0,238,1
240,248,255,0
227,227,227,0
255,240,245,0
108,166,205,0
89,89,89,1
245,245,220,0
255,248,220,0
139,125,123,0
178,34,34,1
133,133,133,0
238,121,66,0
82,139,139,1
205,197,191,0
205,38,38,1
255,140,105,0
253,245,230,0
139,87,66,1
238,216,174,0
255,153,18,0
255,125,64,0
164,211,238,0
255,106,106,0
159,121,238,0
179,179,77,0
211,211,211,0
139,71,137,1
139,121,94,1
204,255,204,0
238,233,233,0
26,51,153,1
56,142,142,1
255,228,181,0
154,50,205,1
205,170,125,0
188,143,143,0
255,248,220,0
66,66,66,1
110,139,61,1
128,179,179,0
238,203,173,0
105,105,105,1
0,206,209,0
142,142,56,0
252,252,252,0
135,206,255,0
245,245,245,0
128,102,204,1
255,52,179,1
